col1,col2,col3,col4,col5,col6,col7,col8,sort_date
01372-2025,05/04/2025 1:27 PM,05/04/2025 10:30 AM - 05-04-2025,Arson,University Residence Hall,Washington Square,A student reported an Arson.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-05-04
2025-1341,05/04/2025 12:41 AM,05/04/2025 12:40 AM - 05/04/2025 1:53 AM,Criminal Mischief,Genomics - Exterior,Washington Square,A campus safety officer reported Criminal Mischief.,Closed/ Referred to NYPD,2025-05-04
2025-1351,05/05/2025 10:35 AM,05/03/2025 7:57 PM - 05/03/2025 8:06 PM,Larceny,Hayden Residence Hall,Washington Square,A student reported a Larceny.,Open,2025-05-05
2025-1352,05/05/2025 11:41 AM,05/05/2025 8:39 AM - 05/05/2025 12:15 PM,Criminal Mischief,726 Broadway,Washington Square,A staff member reported Criminal Mischief.,Open,2025-05-05
2025-1361,05/05/2025 8:19 PM,05/05/2025 8:17 PM - 05/05/2025 8:54 PM,Attempted Robbery,Carlyle Court Residence Hall,Washington Square,A campus safety officer reported an Attempted Robbery.,Closed/ Referred to NYPD,2025-05-05
2025-1359,05/05/2025 6:29 PM,04/22/2025 7:30 PM - 04-22-2025,Dating Violence / Aggravated Assault / Fondling,Silver Center,Washington Square,A student reported Dating Violence / Aggravated Assault / Fondling.,Open,2025-05-05
2025-1353,05/05/2025 11:07 AM,05/05/2025 11:07 AM - 05/05/2025 12:20 PM,Criminal Mischief,14 University Place - Exterior,Washington Square,A campus safety officer reported Criminal Mischief.,Closed/ Referred to NYPD,2025-05-05
2025-1360,05/05/2025 8:00 PM,05/03/2025 10:30 PM - 05/04/2025 1:00 PM,Larceny,Bobst Library,Washington Square,A student reported a Larceny.,Open,2025-05-05
2025-1363,05/06/2025 1:19 AM,05/06/2025 1:10 AM - 05/06/2025 2:11 AM,Criminal Mischief,Silver Center - Exterior,Washington Square,A campus safety officer reported Criminal Mischief.,Closed/ Referred to NYPD,2025-05-06
2025-1368,05/06/2025 12:27 PM,05/06/2025 10:26 AM - 05/06/2025 10:49 AM,Criminal Trespass,6 MetroTech Center,Brooklyn Commons,A Campus Safety employee escorted a trespasser out of a building.,Open,2025-05-06
2025-1375,05/06/2025 5:35 PM,05/06/2025 5:10 PM - 05/06/2025 5:30 PM,Larceny,Bobst Library,Washington Square,A student reported a theft.,Open,2025-05-06
2025-1376,05/06/2025 10:20 PM,05/03/2025 6:30 PM - 05/06/2025 11:20 AM,Criminal Impersonation with Intent to Defraud,6 MetroTech Center,Brooklyn Commons,A student reported an email scam.,Open,2025-05-06
